iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_notch,q1_notch_mv
2026-09-09T14:28:00.087,1788944280.0872,4451,0,0.0,0,0.0
2026-09-09T14:28:00.102,1788944280.1028,4452,0,0.0,0,0.0
2026-09-09T14:28:00.102,1788944280.1028,4453,0,0.0,0,0.0
2026-09-09T14:28:00.118,1788944280.1188,4454,0,0.0,0,0.0
2026-09-09T14:28:00.118,1788944280.1188,4455,0,0.0,0,0.0
2026-09-09T14:28:00.140,1788944280.1405,4456,0,0.0,0,0.0
2026-09-09T14:28:00.150,1788944280.1506,4457,0,0.0,0,0.0
2026-09-09T14:28:00.150,1788944280.1506,4458,0,0.0,0,0.0
2026-09-09T14:28:00.166,1788944280.1664,4459,0,0.0,0,0.0
2026-09-09T14:28:00.166,1788944280.1664,4460,0,0.0,0,0.0
2026-09-09T14:28:00.182,1788944280.1822,4461,0,0.0,0,0.0
2026-09-09T14:28:00.214,1788944280.2141,4462,0,0.0,0,0.0
2026-09-09T14:28:00.214,1788944280.2141,4463,0,0.0,0,0.0
2026-09-09T14:28:00.214,1788944280.2141,4464,0,0.0,0,0.0
2026-09-09T14:28:00.230,1788944280.2303,4465,0,0.0,0,0.0
2026-09-09T14:28:00.240,1788944280.2407,4466,0,0.0,0,0.0
2026-09-09T14:28:00.246,1788944280.2463,4467,0,0.0,0,0.0
2026-09-09T14:28:00.261,1788944280.2620,4468,0,0.0,0,0.0
2026-09-09T14:28:00.261,1788944280.2620,4469,0,0.0,0,0.0
2026-09-09T14:28:00.278,1788944280.2781,4470,0,0.0,0,0.0
2026-09-09T14:28:00.294,1788944280.2940,4471,0,0.0,0,0.0
2026-09-09T14:28:00.294,1788944280.2940,4472,0,0.0,0,0.0
2026-09-09T14:28:00.310,1788944280.3100,4473,0,0.0,0,0.0
2026-09-09T14:28:00.310,1788944280.3100,4474,0,0.0,0,0.0
2026-09-09T14:28:00.340,1788944280.3409,4475,0,0.0,0,0.0
2026-09-09T14:28:00.341,1788944280.3419,4476,0,0.0,0,0.0
2026-09-09T14:28:00.341,1788944280.3419,4477,0,0.0,0,0.0
2026-09-09T14:28:00.357,1788944280.3579,4478,0,0.0,0,0.0
2026-09-09T14:28:00.374,1788944280.3740,4479,0,0.0,0,0.0
2026-09-09T14:28:00.374,1788944280.3740,4480,0,0.0,0,0.0
2026-09-09T14:28:00.390,1788944280.3901,4481,0,0.0,0,0.0
2026-09-09T14:28:00.390,1788944280.3901,4482,0,0.0,0,0.0
2026-09-09T14:28:00.454,1788944280.4541,4483,0,0.0,0,0.0
2026-09-09T14:28:00.745,1788944280.7452,4484,0,0.0,0,0.0
2026-09-09T14:28:00.842,1788944280.8424,4485,0,0.0,0,0.0
2026-09-09T14:28:00.851,1788944280.8520,4486,0,0.0,0,0.0
2026-09-09T14:28:00.851,1788944280.8520,4487,0,0.0,0,0.0
2026-09-09T14:28:00.868,1788944280.8680,4488,0,0.0,0,0.0
2026-09-09T14:28:00.868,1788944280.8680,4489,0,0.0,0,0.0
2026-09-09T14:28:00.884,1788944280.8842,4490,0,0.0,0,0.0
2026-09-09T14:28:00.900,1788944280.9001,4491,0,0.0,0,0.0
2026-09-09T14:28:00.900,1788944280.9001,4492,0,0.0,0,0.0
2026-09-09T14:28:00.916,1788944280.9162,4493,0,0.0,0,0.0
2026-09-09T14:28:00.916,1788944280.9162,4494,0,0.0,0,0.0
2026-09-09T14:28:00.932,1788944280.9321,4495,0,0.0,0,0.0
2026-09-09T14:28:00.947,1788944280.9479,4496,0,0.0,0,0.0
2026-09-09T14:28:00.963,1788944280.9640,4497,0,0.0,0,0.0
2026-09-09T14:28:00.979,1788944280.9796,4498,0,0.0,0,0.0
2026-09-09T14:28:00.979,1788944280.9796,4499,0,0.0,0,0.0
2026-09-09T14:28:00.995,1788944280.9957,4500,0,0.0,0,0.0
2026-09-09T14:28:00.995,1788944280.9957,4501,0,0.0,0,0.0
2026-09-09T14:28:01.011,1788944281.0117,4502,0,0.0,0,0.0
2026-09-09T14:28:01.011,1788944281.0117,4503,0,0.0,0,0.0
2026-09-09T14:28:01.027,1788944281.0277,4504,0,0.0,0,0.0
2026-09-09T14:28:01.027,1788944281.0277,4505,0,0.0,0,0.0
2026-09-09T14:28:01.042,1788944281.0429,4506,0,0.0,0,0.0
2026-09-09T14:28:01.058,1788944281.0587,4507,0,0.0,0,0.0
2026-09-09T14:28:01.058,1788944281.0587,4508,0,0.0,0,0.0
2026-09-09T14:28:01.074,1788944281.0747,4509,0,0.0,0,0.0
2026-09-09T14:28:01.090,1788944281.0905,4510,0,0.0,0,0.0
2026-09-09T14:28:01.106,1788944281.1066,4511,0,0.0,0,0.0
2026-09-09T14:28:01.106,1788944281.1066,4512,0,0.0,0,0.0
2026-09-09T14:28:01.124,1788944281.1245,4513,0,0.0,0,0.0
2026-09-09T14:28:01.131,1788944281.1310,4514,0,0.0,0,0.0
2026-09-09T14:28:01.138,1788944281.1383,4515,0,0.0,0,0.0
2026-09-09T14:28:01.144,1788944281.1445,4516,0,0.0,0,0.0
2026-09-09T14:28:01.154,1788944281.1541,4517,0,0.0,0,0.0
2026-09-09T14:28:01.169,1788944281.1699,4518,0,0.0,0,0.0
2026-09-09T14:28:01.169,1788944281.1699,4519,0,0.0,0,0.0
2026-09-09T14:28:01.185,1788944281.1860,4520,0,0.0,0,0.0
2026-09-09T14:28:01.185,1788944281.1860,4521,0,0.0,0,0.0
2026-09-09T14:28:01.201,1788944281.2017,4522,0,0.0,0,0.0
2026-09-09T14:28:01.217,1788944281.2176,4523,0,0.0,0,0.0
2026-09-09T14:28:01.233,1788944281.2336,4524,0,0.0,0,0.0
2026-09-09T14:28:01.233,1788944281.2336,4525,0,0.0,0,0.0
2026-09-09T14:28:01.249,1788944281.2497,4526,0,0.0,0,0.0
2026-09-09T14:28:01.249,1788944281.2497,4527,0,0.0,0,0.0
2026-09-09T14:28:01.265,1788944281.2658,4528,0,0.0,0,0.0
2026-09-09T14:28:01.265,1788944281.2658,4529,0,0.0,0,0.0
2026-09-09T14:28:01.281,1788944281.2818,4530,0,0.0,0,0.0
2026-09-09T14:28:01.297,1788944281.2979,4531,0,0.0,0,0.0
2026-09-09T14:28:01.314,1788944281.3140,4532,0,0.0,0,0.0
2026-09-09T14:28:01.314,1788944281.3140,4533,0,0.0,0,0.0
2026-09-09T14:28:01.329,1788944281.3299,4534,0,0.0,0,0.0
2026-09-09T14:28:01.329,1788944281.3299,4535,0,0.0,0,0.0
2026-09-09T14:28:01.345,1788944281.3457,4536,0,0.0,0,0.0
2026-09-09T14:28:01.361,1788944281.3618,4537,0,0.0,0,0.0
